,Year,Variable,Value
311472,2019,Wind,621.21
311530,2020,Bioenergy,115.54
311531,2020,Coal,2059.7
311532,2020,Gas,1780.46
311533,2020,Hydro,1211.04
311534,2020,Nuclear,402.29
311535,2020,Other Fossil,356.52
311536,2020,Other Renewables,22.75
311537,2020,Solar,716.74
311538,2020,Wind,731.71
311596,2021,Bioenergy,123.62
311597,2021,Coal,2076.93
311598,2021,Gas,1793.12
311599,2021,Hydro,1229.83
311600,2021,Nuclear,404.21
311601,2021,Other Fossil,358.27
311602,2021,Other Renewables,24.52
311603,2021,Solar,850.21
311604,2021,Wind,825.06
